user_code,date,company,restaurant,price_paid,delivery_charge,packing_charge,district,state,zone
2615,01-01-2019,beta,Rolls Hut,49,0,0,Central Delhi,DELHI,NORTH
3658,01-01-2019,beta,Arabian Tasty Cafe,143,0,0,Thiruvananthapuram,KERALA,SOUTH
4390,01-01-2019,beta,BTW - Pitampura,45.95,0,0,North West Delhi,DELHI,NORTH
4849,01-01-2019,beta,Viju???????s Dabeli,49,0,0,Nashik,MAHARASHTRA,WEST
5688,01-01-2019,beta,Mamaji Taste Of Katta,35,0,0,Mumbai,MAHARASHTRA,WEST
6651,01-01-2019,beta,Sagar Gaire - Arera colony,85.6,0,0,Bhopal,MADHYA PRADESH,WEST
6673,01-01-2019,beta,Apna Sweets - Vijay Nagar,20.95,0,0,Indore,MADHYA PRADESH,WEST
6673,01-01-2019,beta,Johny Hot Dog - 56 Dukan,36,0,0,Indore,MADHYA PRADESH,WEST
7222,01-01-2019,beta,New Tandoori Nights,20,0,0,North 24 Parganas,WEST BENGAL,EAST
7336,01-01-2019,beta,Mad Momos - Vishrantwadi,79,0,0,Pune,MAHARASHTRA,WEST
8352,01-01-2019,beta,The Burger Club - GTB Nagar,61.45,0,0,North West Delhi,DELHI,NORTH
9170,01-01-2019,beta,Azad Hind Dhaba - Sector 1,113.95,0,0,North 24 Parganas,WEST BENGAL,EAST
11098,01-01-2019,beta,Polar Bear - Koramangala,85.6,0,0,Bangalore,KARNATAKA,SOUTH
11098,01-01-2019,beta,Polar Bear - HSR Layout,110.8,0,0,Bangalore,KARNATAKA,SOUTH
11098,01-01-2019,beta,Hyderabad Biryaani House - Koramangala,113.95,0,0,Bangalore,KARNATAKA,SOUTH
11098,01-01-2019,beta,Cafe Madhura,55.4,0,0,Bangalore,KARNATAKA,SOUTH
11098,01-01-2019,beta,Stoner - Koramangala,113.5,0,0,Bangalore,KARNATAKA,SOUTH
11363,01-01-2019,beta,Mysuru Coffee Thindi,57.46,0,0,Bangalore Rural,KARNATAKA,SOUTH
14183,01-01-2019,beta,Santosh family dhaba - Ameerpet,100,0,0,Hyderabad,ANDHRA PRADESH,SOUTH
15156,01-01-2019,beta,Kritunga - Koramangala,130.75,0,0,Bangalore,KARNATAKA,SOUTH
16112,01-01-2019,beta,MASH Resto Cafe 24 Hours,267.4,0,0,Ernakulam,KERALA,SOUTH
17635,01-01-2019,beta,Johny Hot Dog - 56 Dukan,31,0,0,Indore,MADHYA PRADESH,WEST
22886,01-01-2019,beta,GVD Soni's Cafe - Malviya Nagar,103.45,0,0,Jaipur,RAJASTHAN,NORTH
22918,01-01-2019,beta,Khan's Majlis,109,0,0,Mysore,KARNATAKA,SOUTH
23773,01-01-2019,beta,Vaishnavi Garden Restaurant,108,0,0,Pune,MAHARASHTRA,WEST
29572,01-01-2019,beta,Kritunga - Kundanahalli,130.75,0,0,Bangalore,KARNATAKA,SOUTH
33669,01-01-2019,beta,Jhakas Family Restaurant - Wadala,78.5,0,0,Mumbai,MAHARASHTRA,WEST
38862,01-01-2019,beta,Shiv Sagar - Kamla Mills,60.4,0,0,Mumbai,MAHARASHTRA,WEST
48509,01-01-2019,beta,Punjabi Chef,123.4,0,0,Pune,MAHARASHTRA,WEST
48509,01-01-2019,beta,Apna Punjab,156,0,0,Pune,MAHARASHTRA,WEST
60523,01-01-2019,beta,Punjabi Food Point,91.05,0,0,Bangalore,KARNATAKA,SOUTH
65629,01-01-2019,beta,New Baker's Pride,127,0,0,Jaipur,RAJASTHAN,NORTH
67972,01-01-2019,beta,Shyam Sandwich - Bapna Arcade,61,0,0,Indore,MADHYA PRADESH,WEST
69502,01-01-2019,beta,Namma Madurai - Marathahalli,84.7,0,0,Bangalore,KARNATAKA,SOUTH
70016,01-01-2019,beta,Six Pack Kitchen,407.95,0,0,Gurgaon,HARYANA,NORTH
70392,01-01-2019,beta,Indori Chatorey,88,0,0,Bangalore,KARNATAKA,SOUTH
73203,01-01-2019,beta,Har Har Mahadev Sabjiwala,130,0,0,Jaipur,RAJASTHAN,NORTH
80010,01-01-2019,beta,Meghana Foods - Indiranagar,1400.7,0,10.5,Bangalore,KARNATAKA,SOUTH
80259,01-01-2019,beta,Nadan Ruchi - Kazhakoottam,87,0,0,Thiruvananthapuram,KERALA,SOUTH
80259,01-01-2019,beta,Thamarassery Churam,142.3,0,0,Thiruvananthapuram,KERALA,SOUTH
2714,01-01-2019,gamma,Winner Pop Corn,80,10,0,Thane,MAHARASHTRA,WEST
3907,01-01-2019,gamma,Mama Bhanja Corner,204,10,0,West Delhi,DELHI,NORTH
24237,01-01-2019,gamma,China Town,99,0,0,North West Delhi,DELHI,NORTH
63097,01-01-2019,gamma,Haldiram,51.25,10,0,Patna,BIHAR,EAST
271,02-01-2019,alpha,JR Jana Veg Restaurant,322,20,0,Kanchipuram,TAMIL NADU,SOUTH
327,02-01-2019,alpha,Salem RR Biriyani Unvagam,362,20,0,Chennai,TAMIL NADU,SOUTH
338,02-01-2019,alpha,KS Bakers,116,20,0,Hyderabad,ANDHRA PRADESH,SOUTH
376,02-01-2019,alpha,YumYumDilli,139,0,0,Gautam Buddha Nagar,UTTAR PRADESH,NORTH
376,02-01-2019,alpha,KFC,304,0,33.33,Gautam Buddha Nagar,UTTAR PRADESH,NORTH
384,02-01-2019,alpha,KMS Hakkim Kalyana Biriyani,326,0,0,Bangalore,KARNATAKA,SOUTH
397,02-01-2019,alpha,Rolls Mania,652,0,0,Chennai,TAMIL NADU,SOUTH
420,02-01-2019,alpha,Podi Idly,101,0,10,Bangalore,KARNATAKA,SOUTH
420,02-01-2019,alpha,Podi Idly,154,0,10,Bangalore,KARNATAKA,SOUTH
435,02-01-2019,alpha,JR Jana Veg Restaurant,209,20,0,Kanchipuram,TAMIL NADU,SOUTH
435,02-01-2019,alpha,Amma Samaichadu,310,20,10,Kanchipuram,TAMIL NADU,SOUTH
502,02-01-2019,alpha,Pappu Chaiwalla,1121,20,40,Bangalore,KARNATAKA,SOUTH
547,02-01-2019,alpha,Hotel A0dha,83,35,0,Bangalore,KARNATAKA,SOUTH
590,02-01-2019,alpha,Ovenstory Pizza,176,0,23.81,Kanchipuram,TAMIL NADU,SOUTH
590,02-01-2019,alpha,Anjappar,86,0,0,Kanchipuram,TAMIL NADU,SOUTH
1260,02-01-2019,alpha,Max Bakers,330,20,30,North West Delhi,DELHI,NORTH
1927,02-01-2019,alpha,New Durga Corner,60,0,0,West Delhi,DELHI,NORTH
1927,02-01-2019,alpha,Grover sweets,216,0,0,West Delhi,DELHI,NORTH
2215,02-01-2019,alpha,Food As Mood,200,0,0,Gautam Buddha Nagar,UTTAR PRADESH,NORTH
2705,02-01-2019,alpha,Arul Chettinadu Hotel,460,20,0,Chennai,TAMIL NADU,SOUTH
3245,02-01-2019,alpha,Om Sweets & Snacks,341,20,0,Gurgaon,HARYANA,NORTH
3586,02-01-2019,alpha,Cakes,670,20,0,Kolkata,WEST BENGAL,EAST
3644,02-01-2019,alpha,Spice 2 GO,112,35,7,Kolkata,WEST BENGAL,EAST
3736,02-01-2019,alpha,KC Restaurant,125,0,0,North West Delhi,DELHI,NORTH
5677,02-01-2019,alpha,Claypot,298,10,20,Pune,MAHARASHTRA,WEST
8943,02-01-2019,alpha,Chawla's Tandoori Xpress,566,20,0,Bangalore,KARNATAKA,SOUTH
9089,02-01-2019,alpha,New Punjabi Hotel,128,20,12,Bangalore,KARNATAKA,SOUTH
9976,02-01-2019,alpha,YumYumDilli,288,0,7,Mumbai,MAHARASHTRA,WEST
9976,02-01-2019,alpha,Subway,1426,0,0,Mumbai,MAHARASHTRA,WEST
13424,02-01-2019,alpha,The Bowl Company,171,0,9.5,Bangalore,KARNATAKA,SOUTH
15806,02-01-2019,alpha,Hyderabad Chefs,214,20,0,Bangalore,KARNATAKA,SOUTH
24237,02-01-2019,alpha,Bistro 57,86,20,0,South West Delhi,DELHI,NORTH
31980,02-01-2019,alpha,Mr. Crust Bakers,240,0,0,North West Delhi,DELHI,NORTH
33204,02-01-2019,alpha,Tawa Tadka,75,0,10,Thane,MAHARASHTRA,WEST
33204,02-01-2019,alpha,The Belgian Waffle Co,85,0,10,Thane,MAHARASHTRA,WEST
33669,02-01-2019,alpha,Prapti Dosa Corner's,100,0,20,Mumbai,MAHARASHTRA,WEST
35089,02-01-2019,alpha,Mangal Sweets,600,0,0,East Delhi,DELHI,NORTH
42828,02-01-2019,alpha,Cafe Istaa,284,0,0,Mumbai,MAHARASHTRA,WEST
51817,02-01-2019,alpha,Brotariza,59,25,0,Pune,MAHARASHTRA,WEST
57024,02-01-2019,alpha,S29 Epicure,256,10,15,Jaipur,RAJASTHAN,NORTH
57024,02-01-2019,alpha,Cafe Two Pi R,362,10,0,Jaipur,RAJASTHAN,NORTH
57289,02-01-2019,alpha,Bhookaa,138,10,0,Khorda,ODISHA,EAST
64217,02-01-2019,alpha,FreshMenu,126,0,0,Bangalore,KARNATAKA,SOUTH
64217,02-01-2019,alpha,The Bowl Company,100,0,9.5,Bangalore,KARNATAKA,SOUTH
69364,02-01-2019,alpha,Pathaan Sir,130,20,5,Bangalore,KARNATAKA,SOUTH
69364,02-01-2019,alpha,Domino's Pizza,314,0,0,Bangalore,KARNATAKA,SOUTH
69364,02-01-2019,alpha,Sai Mango Tree,220,20,0,Bangalore,KARNATAKA,SOUTH
69501,02-01-2019,alpha,Carlos Cake cafe,350,20,0,Bangalore,KARNATAKA,SOUTH
69528,02-01-2019,alpha,Salem RR Briyani Unvagam,178,20,0,Kanchipuram,TAMIL NADU,SOUTH
69560,02-01-2019,alpha,Oye Amritsar,422,20,25,Bangalore,KARNATAKA,SOUTH
69560,02-01-2019,alpha,McDonald's,441,20,33.34,Bangalore,KARNATAKA,SOUTH
69693,02-01-2019,alpha,Vibes Burger,160,0,0,Kanchipuram,TAMIL NADU,SOUTH
69771,02-01-2019,alpha,The Bowl Company,299,0,19,Bangalore,KARNATAKA,SOUTH
69771,02-01-2019,alpha,Vasudev Adigas,276,0,0,Bangalore,KARNATAKA,SOUTH
69787,02-01-2019,alpha,Baskin Robbins,339,0,32.8,Bangalore,KARNATAKA,SOUTH
69787,02-01-2019,alpha,Taste Of India,133,0,20,Bangalore,KARNATAKA,SOUTH
69942,02-01-2019,alpha,Maroosh,367,20,0,Mumbai,MAHARASHTRA,WEST
69967,02-01-2019,alpha,Homely,137,0,0,Bangalore,KARNATAKA,SOUTH
69967,02-01-2019,alpha,Flames Pizza,174,20,10,Bangalore,KARNATAKA,SOUTH
70016,02-01-2019,alpha,Six Pack Kitchen,276,20,17,Gurgaon,HARYANA,NORTH
70392,02-01-2019,alpha,Momoz,468,0,16,Bangalore,KARNATAKA,SOUTH
70392,02-01-2019,alpha,Bengali Fun Foods,102,0,10,Bangalore,KARNATAKA,SOUTH
70613,02-01-2019,alpha,Leon Grill,228,20,14,Bangalore,KARNATAKA,SOUTH
70655,02-01-2019,alpha,Natural Ice Cream,349,0,0,Bangalore,KARNATAKA,SOUTH
72950,02-01-2019,alpha,The Belgian Waffle Co,170,0,10,Mumbai,MAHARASHTRA,WEST
72950,02-01-2019,alpha,Smokin' Joe's,189,0,0,Mumbai,MAHARASHTRA,WEST
73675,02-01-2019,alpha,McDonald's,213,0,33.34,Pune,MAHARASHTRA,WEST
76887,02-01-2019,alpha,Archit Tandoor House,119,20,0,Howrah,WEST BENGAL,EAST
78165,02-01-2019,alpha,Taco Bell,587,20,30,Bangalore,KARNATAKA,SOUTH
78349,02-01-2019,alpha,Paramhans Pure Veg,50,0,0,Pune,MAHARASHTRA,WEST
78375,02-01-2019,alpha,Wok Meister,415,0,0,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
80405,02-01-2019,alpha,Hotel Empire,216,0,0,Bangalore,KARNATAKA,SOUTH
51,02-01-2019,alpha,Lassi Shop,125,0,0,Kanchipuram,TAMIL NADU,SOUTH
51,02-01-2019,alpha,Royal Chef,210,0,0,Kanchipuram,TAMIL NADU,SOUTH
51,02-01-2019,alpha,Amaravathi,224,0,0,Kanchipuram,TAMIL NADU,SOUTH
113,02-01-2019,alpha,The Royal's Biryani,119,0,0,Chennai,TAMIL NADU,SOUTH
283,02-01-2019,alpha,Sukkubhai Biriyani,130,0,0,Chennai,TAMIL NADU,SOUTH
566,02-01-2019,alpha,Sri Krishna Tiffin Room,113,0,0,Coimbatore,TAMIL NADU,SOUTH
1392,02-01-2019,alpha,Bhai Ji Foods,90,0,0,Gurgaon,HARYANA,NORTH
1392,02-01-2019,alpha,Bhai ji foods,95,0,0,Gurgaon,HARYANA,NORTH
3204,02-01-2019,alpha,Treat - Pure Veg,121,0,0,Kolkata,WEST BENGAL,EAST
4149,02-01-2019,alpha,OMG Lunch Buzzer,116,0,0,Indore,MADHYA PRADESH,WEST
6591,02-01-2019,alpha,Mayur Restaurant,75,0,0,East Delhi,DELHI,NORTH
9522,02-01-2019,alpha,Gupta Tea,175,0,0,North 24 Parganas,WEST BENGAL,EAST
11098,02-01-2019,alpha,Hyderabad Biryaani House,196,0,0,Bangalore,KARNATAKA,SOUTH
11547,02-01-2019,alpha,Dollop's,209,0,0,Udupi,KARNATAKA,SOUTH
11547,02-01-2019,alpha,Dollop's,178,0,0,Udupi,KARNATAKA,SOUTH
11870,02-01-2019,alpha,Tim Cafe,109,0,0,Bangalore,KARNATAKA,SOUTH
12320,02-01-2019,alpha,Rolls On Wheels,95,0,0,Bangalore,KARNATAKA,SOUTH
12468,02-01-2019,alpha,Bistro NutriFood,225,0,0,Pune,MAHARASHTRA,WEST
13559,02-01-2019,alpha,Asha Sweets Center,191,0,0,Bangalore,KARNATAKA,SOUTH
16915,02-01-2019,alpha,Cafe Cilantro,145,0,0,Pune,MAHARASHTRA,WEST
22258,02-01-2019,alpha,City Corner,145,0,0,Ahmedabad,GUJARAT,WEST
24785,02-01-2019,alpha,The Manish Eating Point,63,0,0,Lucknow,UTTAR PRADESH,NORTH
